plant_taxon,common_name,family,bee_taxa_count,source_backed_rows,direct_visit_feeding_rows,general_association_rows,near_local_rows,within150_rows,garden_note,top_bees,top_localities
Salix,willow,Salicaceae,29,178,0,178,74,178,"High bee-breadth lead, but much evidence may be broad association. Verify direct flower-use evidence and native range before prioritizing.",Andrena personata; Andrena nasonii; Andrena andrenoides; Andrena arenicola; Andrena miserabilis; Colletes thoracicus; Andrena nigrae; Andrena unicostata; Andrena illinoiensis; Hoplitis simplex,"Luling; Lexington; Rockdale; Mason, 10 mi N; Davis Mountains; Karnes City"
Phacelia,phacelia,Hydrophyllaceae,23,226,0,226,8,207,"High bee-breadth lead, but much evidence may be broad association. Verify direct flower-use evidence and native range before prioritizing.",Anthidium palmarum; Melissodes tristis; Anthophora californica; Melissodes tepaneca; Svastra petulca suffusa; Osmia subfasciata subfasciata; Megachile policaris; Augochloropsis; Megachile frugalis pseudofrugalis; Agapostemon texanus,"Davis Mountains; Concan, 8 mi S; Kerrville; Kerrville, 10 mi N; Sonora; Sonora, 36 mi S"
Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,20,231,0,231,171,230,"High bee-breadth lead, but much evidence may be broad association. Verify direct flower-use evidence and native range before prioritizing.",Svastra petulca suffusa; Agapostemon texanus; Halictus ligatus; Dieunomia apacha; Svastra petulca; Melissodes tepaneca; Andrena rudbeckiae; Coelioxys edita; Melissodes coreopsis; Diadasia enavata,"Bastrop; Weser; Goliad, 16 mi E; Pedernales Falls State Park; New Braunfels; Sonora"
Oncidium ensatum,,Orchidaceae,17,49,0,49,49,49,Orchid record needs review before using for a Central Texas garden recommendation.,Svastra petulca; Anthophora californica; Agapostemon texanus; Augochloropsis metallica; Diadasia rinconis; Halictus ligatus; Heriades variolosa; Lithurgopsis littoralis; Megachile; Megachile comata,
Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,16,58,8,50,45,52,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Osmia subfasciata; Dianthidium texanum; Megachile frugalis pseudofrugalis; Melissodes bimaculatus; Bombus pensylvanicus; Svastra petulca; Xylocopa virginica; Bombus sonorus; Centris atripes; Halictus ligatus,Devils River
Salvia farinacea,mealy blue sage,Lamiaceae,14,69,12,57,7,69,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Melissodes tristis; Anthophora californica; Bombus pensylvanicus; Centris atripes; Eucera belfragei; Osmia texana; Anthophora capistrata; Bombus sonorus; Halictus ligatus; Lasioglossum coactum,United States of America
Cirsium,thistle,Asteraceae,14,32,2,30,6,19,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Osmia texana; Melissodes tristis; Apidae; Lithurgus littoralis; Megachile policaris; Melissodes coreopsis; Melissodes tepaneca; Anthophora californica; Bombus pensylvanicus; Bombus sonorus,"Sonora; Harper; Austin; Weser; TTU Center, Junction; Eagle Pass, 21 mi NE, hwy 76"
Helianthus annuus,common sunflower,Asteraceae,14,46,0,46,30,46,"High bee-breadth lead, but much evidence may be broad association. Verify direct flower-use evidence and native range before prioritizing.",Megachile fortis; Svastra obliqua; Perdita purpurascens; Bombus pensylvanicus pensylvanicus; Megachile; Megachile policaris; Melissodes tristis; Bombus pensylvanicus; Augochlorella karankawa; Pseudopanurgus aethiops,"Ft. Davis, 47 mi NE; Elgin; Concan"
Opuntia,prickly pear,Cactaceae,13,204,0,204,11,52,"High bee-breadth lead, but much evidence may be broad association. Verify direct flower-use evidence and native range before prioritizing.",Macrotera crassa; Macrotera texana; Melissodes tepaneca; Melissodes tristis; Diadasia rinconis; Lithurgus littoralis; Megachile rugifrons; Perdita (Macrotera) texana texana; Megachile policaris; Diadasia australis,"Sonora; Quemado; Harper; Davis Mountains; Giddings, 7 mi SW; Bastrop"
Cirsium texanum,Texas thistle,Asteraceae,12,36,2,34,34,36,"Good dataset lead: several bees plus direct visit/feeding evidence. Verify native range, water need, and site fit before planting.",Melissodes tepaneca; Diadasia enavata; Halictus ligatus; Xylocopa virginica; Agapostemon texanus; Apis mellifera; Bombus pensylvanicus; Lasioglossum connexum; Megachile comata; Megachile policaris,
Dalea pogonathera,,Fabaceae,12,76,0,76,0,71,"High bee-breadth lead, but much evidence may be broad association. Verify direct flower-use evidence and native range before prioritizing.",Centris atripes; Melissodes tristis; Anthophora californica; Anthidium psoraleae; Exomalopsis solani; Atoposmia maryae; Anthidium porterae; Ashmeadiella meliloti meliloti; Augochlorella bracteata; Bombus pensylvanicus pensylvanicus,"Ft. Davis, 46 mi NE; Quemado"
Rudbeckia hirta,black-eyed Susan,Asteraceae,11,48,0,48,48,48,"High bee-breadth lead, but much evidence may be broad association. Verify direct flower-use evidence and native range before prioritizing.",Halictus ligatus; Svastra petulca; Melissodes coreopsis; Diadasia rinconis; Melissodes tepaneca; Melissodes wheeleri; Pseudopanurgus albitarsis; Pseudopanurgus ornatipes; Stelis diversicolor; Heriades variolosa,Bastrop State Park
Marrubium vulgare,horehound,Lamiaceae,10,21,0,21,1,21,Non-native/invasive concern in many areas; do not treat as a conservation planting recommendation.,Megachile policaris; Triepeolus rhododontus; Anthidium palmarum; Megachile agustini; Megachile brevis; Megachile exilis; Xeromelecta californica; Calliopsis granti; Megachile pugnata; Nomia nortoni,United States of America; Kerrville; Maxwell
